Cod Dpto;Departamento;Cod Mpio;Municipio;Resultado;Indicador Resultado;LB Resultado;Meta Resultado;Codigo Producto;Producto;Indicador Producto;LB Producto;Meta Producto;Orientacion;Codigo Sector;Sector;ODS;Pilar Plan Marco de Implementación;ValorEsperado2016;ValorEjecutado2016;% Avance 2016;Rango Calificación 2016;ObservacionEvaluacion2016;BPIN 2016;Priorizada2016;Observaciones2016;ValorEsperado2017;ValorEjecutado2017;% Avance 2017;Rango Calificación 2017;ObservacionEvaluacion2017;BPIN 2017;Priorizada2017;Observaciones2017;ValorEsperado2018;ValorEjecutado2018;% Avance 2018;Rango Calificación 2018;ObservacionEvaluacion2018;BPIN 2018;Priorizada2018;Observaciones2018;ValorEsperado2019;ValorEjecutado2019;% Avance 2019;Rango Calificación 2019;ObservacionEvaluacion2019;BPIN 2019;Priorizada2019;Observaciones2019;Prog Cof Dpto 2016;Prog Cof Nacion 2016;Prog Credito 2016;Prog Otros 2016;Prog Recursos Propios 2016;Prog SGP Alim Escolar 2016;Prog SGP APSB 2016;Prog SGP Cultura 2016;Prog SGP Deporte 2016;Prog SGP Educacion 2016;Prog SGP Libre Dest 2016;Prog SGP Libre Inv 2016;Prog SGP RioMagdalena 2016;Prog SGP Salud 2016;Prog Regalías 2016;Prog Total 2016;Ejec Cof Dpto 2016;Ejec Cof Nacion 2016;Ejec Credito 2016;Ejec Otros 2016;Ejec Recursos Propios 2016;Ejec SGP Alim Escolar 2016;Ejec SGP APSB 2016;Ejec SGP Cultura 2016;Ejec SGP Deporte 2016;Ejec SGP Educacion 2016;Ejec SGP Libre Dest 2016;Ejec SGP Libre Inv 2016;Ejec SGP RioMagdalena 2016;Ejec SGP Primera Infancia 2016;Ejec SGP Salud 2016;Ejec Regalías 2016;Ejec Funcionamiento 2016;Ejec Gestionados 2016;Ejec Total 2016;Prog Cof Dpto 2017;Prog Cof Nacion 2017;Prog Credito 2017;Prog Otros 2017;Prog Recursos Propios 2017;Prog SGP Alim Escolar 2017;Prog SGP APSB 2017;Prog SGP Cultura 2017;Prog SGP Deporte 2017;Prog SGP Educacion 2017;Prog SGP Libre Dest 2017;Prog SGP Libre Inv 2017;Prog SGP RioMagdalena 2017;Prog SGP Salud 2017;Prog Regalías 2017;Prog Total 2017;Ejec Cof Dpto 2017;Ejec Cof Nacion 2017;Ejec Credito 2017;Ejec Otros 2017;Ejec Recursos Propios 2017;Ejec SGP Alim Escolar 2017;Ejec SGP APSB 2017;Ejec SGP Cultura 2017;Ejec SGP Deporte 2017;Ejec SGP Educacion 2017;Ejec SGP Libre Dest 2017;Ejec SGP Libre Inv 2017;Ejec SGP RioMagdalena 2017;Ejec SGP Primera Infancia 2017;Ejec SGP Salud 2017;Ejec Regalías 2017;Ejec Funcionamiento 2017;Ejec Gestionados 2017;Ejec Total 2017;Prog Cof Dpto 2018;Prog Cof Nacion 2018;Prog Credito 2018;Prog Otros 2018;Prog Recursos Propios 2018;Prog SGP Alim Escolar 2018;Prog SGP APSB 2018;Prog SGP Cultura 2018;Prog SGP Deporte 2018;Prog SGP Educacion 2018;Prog SGP Libre Dest 2018;Prog SGP Libre Inv 2018;Prog SGP RioMagdalena 2018;Prog SGP Salud 2018;Prog Regalías 2018;Prog Total 2018;Ejec Cof Dpto 2018;Ejec Cof Nacion 2018;Ejec Credito 2018;Ejec Otros 2018;Ejec Recursos Propios 2018;Ejec SGP Alim Escolar 2018;Ejec SGP APSB 2018;Ejec SGP Cultura 2018;Ejec SGP Deporte 2018;Ejec SGP Educacion 2018;Ejec SGP Libre Dest 2018;Ejec SGP Libre Inv 2018;Ejec SGP RioMagdalena 2018;Ejec SGP Primera Infancia 2018;Ejec SGP Salud 2018;Ejec Regalías 2018;Ejec Funcionamiento 2018;Ejec Gestionados 2018;Ejec Total 2018;Prog Cof Dpto 2019;Prog Cof Nacion 2019;Prog Credito 2019;Prog Otros 2019;Prog Recursos Propios 2019;Prog SGP Alim Escolar 2019;Prog SGP APSB 2019;Prog SGP Cultura 2019;Prog SGP Deporte 2019;Prog SGP Educacion 2019;Prog SGP Libre Dest 2019;Prog SGP Libre Inv 2019;Prog SGP RioMagdalena 2019;Prog SGP Salud 2019;Prog Regalías 2019;Prog Total 2019;Ejec Cof Dpto 2019;Ejec Cof Nacion 2019;Ejec Credito 2019;Ejec Otros 2019;Ejec Recursos Propios 2019;Ejec SGP Alim Escolar 2019;Ejec SGP APSB 2019;Ejec SGP Cultura 2019;Ejec SGP Deporte 2019;Ejec SGP Educacion 2019;Ejec SGP Libre Dest 2019;Ejec SGP Libre Inv 2019;Ejec SGP RioMagdalena 2019;Ejec SGP Primera Infancia 2019;Ejec SGP Salud 2019;Ejec Regalías 2019;Ejec Funcionamiento 2019;Ejec Gestionados 2019;Ejec Total 2019;Prog Total Cuatrienio;Ejec Total Cuatrienio
05;ANTIOQUIA;05088;BELLO;1. Incrementar la tasa de Cobertura Neta en educación Media a 50  Porciento.;Tasa de Cobertura Neta en educación Media.;40;50;1205107;Mantener en 96 la tasa de Cobertura Neta en educación Media;Tasa de Cobertura Neta en educación Media.;96;96;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;96;96;100;Sobresaliente;valores iguales;"2016-005-088-022
2016-005-088-023
2016-005-088-028
2016-005-088-100
2016-005-088-110
2016-005-088-124";Normal;-;96;96;100;Sobresaliente;valores iguales;"2 0 1 7 0 0 5 0 8 8  0 0 5
2 0 1 7 0 0 5 0 8 8  2 2 7";Normal;Reint. FONPET 2.9% - Servicios Públicos - Acued, Alc, y Aseo I.E;96;99,25;100;Sobresaliente;meta excede el 100% de cumplimiento, tolerable;-;Normal;-;96;96;100;Sobresaliente;valores iguales;-;Normal;-;-;3017706950;-;-;-;-;-;-;-;84338255110;-;-;-;-;-;87355962060;-;-;-;2995034060;-;-;-;-;-;84207711540;-;-;-;-;-;-;-;-;87202745600;-;-;-;1946064860;-;-;-;-;-;87146937430;-;-;-;-;-;89093002290;-;-;-;1334160192;117467713;-;-;-;-;95215765081;-;-;-;-;-;-;-;-;96667392986;-;-;-;9669106;-;-;-;-;-;91886527552;-;-;-;-;-;91896196658;-;-;-;487305025;-;-;-;-;-;1,01569E+11;-;-;-;-;-;-;-;-;1,02057E+11;-;-;-;-;50000000;-;-;-;-;97866317741;-;-;-;-;-;97916317741;-;-;-;-;50000000;-;-;-;-;77668528463;-;-;-;-;-;-;-;-;77718528463;3,66261E+11;3,63645E+11
05;ANTIOQUIA;05088;BELLO;1. Incrementar la tasa de Cobertura Neta en educación Media a 50  Porciento.;Tasa de Cobertura Neta en educación Media.;40;50;1205108;Atención de 44400 estudiantes en educación contratada;Número de estudiantes en educación contratada.;59296;44400;Reducción;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;11100;10165;100;Sobresaliente; meta excede el 100% de cumplimiento, menor a 500%, tolerable;"2016-005-088-022
2016-005-088-023
2016-005-088-028
2016-005-088-100
2016-005-088-110
2016-005-088-124";Normal;-;11100;9101;100;Sobresaliente; meta excede el 100% de cumplimiento, menor a 500%, tolerable;"2 0 1 7 0 0 5 0 8 8  0 0 5
2 0 1 7 0 0 5 0 8 8  2 2 7";Normal;-;11100;9821;100;Sobresaliente; meta excede el 100% de cumplimiento, menor a 500%, tolerable;-;Normal;-;11100;11100;100;Sobresaliente;valores iguales;-;Normal;-;-;-;-;-;-;-;-;-;-;12284561050;-;-;-;-;-;12284561050;-;-;-;-;-;-;-;-;-;11984561050;-;-;-;-;-;-;-;-;11984561050;-;-;-;-;-;-;-;-;-;11313018060;-;-;-;-;-;11313018060;-;-;-;-;-;-;-;-;-;9857165236;-;-;-;-;-;-;-;-;9857165236;-;-;-;-;-;-;-;-;-;9892894621;-;-;-;-;-;9892894621;-;-;-;-;-;-;-;-;-;8302580167;-;-;-;-;-;-;-;-;8302580167;-;-;-;-;-;-;-;-;-;13203348461;-;-;-;-;-;13203348461;-;-;-;-;-;-;-;-;-;11347410207;-;-;-;-;-;-;-;-;11347410207;46693822192;41491716660
05;ANTIOQUIA;05088;BELLO;1. Incrementar la tasa de Cobertura Neta en educación Media a 50  Porciento.;Tasa de Cobertura Neta en educación Media.;40;50;1205109;600 estudiantes  apoyados en al año con transporte escolar;Número de estudiantes  apoyados en al año con transporte escolar.;600;600;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;600;723;100;Sobresaliente;meta excede el 100% de cumplimiento, tolerable;"2016-005-088-022
2016-005-088-023
2016-005-088-028
2016-005-088-100
2016-005-088-110
2016-005-088-124";Normal;-;600;620;100;Sobresaliente;meta excede el 100% de cumplimiento, tolerable;"2 0 1 7 0 0 5 0 8 8  0 0 5
2 0 1 7 0 0 5 0 8 8  2 2 7";Normal;Reint. FONPET CSF - Transporte Escolar;600;800;100;Sobresaliente;meta excede el 100% de cumplimiento, tolerable;-;Normal;-;600;600;100;Sobresaliente;valores iguales;-;Normal;-;-;-;-;-;-;-;-;-;-;100000000;-;-;-;-;-;100000000;-;-;-;-;-;-;-;-;-;100000000;-;-;-;-;-;-;-;-;100000000;-;-;-;-;-;-;-;-;-;155540800;-;-;-;-;-;155540800;-;-;-;55540800;-;-;-;-;-;100000000;-;-;-;-;-;-;-;-;155540800;-;-;-;-;-;-;-;-;-;275868800;-;-;-;-;-;275868800;-;-;-;-;-;-;-;-;-;275868800;-;-;-;-;-;-;-;-;275868800;-;-;-;-;800000000;-;-;-;-;25868800;-;-;-;-;-;825868800;-;-;-;-;70000000;-;-;-;-;25868800;-;-;-;-;-;-;-;-;95868800;1357278400;627278400
05;ANTIOQUIA;05088;BELLO;1. Incrementar la tasa de Cobertura Neta en educación Media a 50  Porciento.;Tasa de Cobertura Neta en educación Media.;40;50;1205110;100 porciento de las instituciones educativas oficiales atendidas con los servicios técnicos (vigilancia, aseo, secretarias y/o personal de apoyo);Porcentaje de las instituciones educativas oficiales atendidas con los servicios técnicos (vigilancia, aseo, secretarias y/o personal de apoyo).;100;100;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;100;100;100;Sobresaliente;valores iguales;"2016-005-088-022
2016-005-088-023
2016-005-088-028
2016-005-088-100
2016-005-088-110
2016-005-088-124";Normal;-;100;100;100;Sobresaliente;valores iguales;"2 0 1 7 0 0 5 0 8 8  0 0 5
2 0 1 7 0 0 5 0 8 8  2 2 7";Normal;-;100;100;100;Sobresaliente;valores iguales;-;Normal;-;100;100;100;Sobresaliente;valores iguales;-;Normal;-;-;1744122780;-;-;281085000;-;-;-;-;8633429310;-;63804480;-;-;-;10722441570;-;-;-;1744008260;281085000;-;-;-;-;8627214510;63145680;-;-;-;-;-;-;-;10715453450;-;-;-;-;-;-;-;-;-;8181316540;-;-;-;-;-;8181316540;-;-;-;-;-;-;-;-;-;7040447274;2134198842;-;-;-;-;-;-;-;9174646116;-;-;-;-;1000000000;-;-;-;-;7699921249;-;-;-;-;-;8699921249;-;-;-;504706467;1651044380;-;-;-;-;7885095822;1910000000;-;-;-;-;-;-;-;11950846669;-;-;-;-;370000000;-;-;-;-;10099921252;-;-;-;-;-;10469921252;-;-;-;-;370000000;-;-;-;-;8783832641;-;-;-;-;-;-;-;-;9153832641;38073600611;40994778876
05;ANTIOQUIA;05088;BELLO;2. Incrementar la tasa de cobertura neta en educación a 82,5 Porciento.;Tasa de cobertura neta en educación;81,7;82,5;1205111;38 Instituciones educativas oficiales intervenidas y/o dotadas en ambientes de aprendizaje;Número de Instituciones educativas oficiales intervenidas y/o dotadas en ambientes de aprendizaje.;38;38;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;38;38;100;Sobresaliente;valores iguales;-;Normal;"COFINET
COTRAFA FINANCIERA
COLANTA
MICROEMPRESAS DE ANTIOQUIA
MULTIASOCIADOS DE COONORTE Y CFA
JOHN F KENNEDY
";38;38;100;Sobresaliente;valores iguales;2 0 1 7 0 0 5 0 8 8  187;Normal;RB FONPET Fortalecimiento Calidad Educativa / Reint. FONPET 2.9% - Mejoramiento Ambientes de Aprendizaje;38;38;100;Sobresaliente;valores iguales;-;Normal;-;38;9;23,68;Crítico;meta evaluable;-;Normal;-;-;-;-;369233370;49366900;-;-;-;-;2432759620;-;-;-;-;-;2851359890;-;-;-;-;49366900;-;-;-;-;2432759620;-;-;-;-;-;-;-;369233370;2851359890;-;82697830;-;-;-;-;-;-;-;1420765420;-;-;-;-;-;1503463250;-;-;-;382638732;-;-;-;-;-;1420765423;-;-;-;-;-;-;-;-;1803404155;-;-;-;-;-;-;-;-;-;2345726967;-;-;-;-;-;2345726967;-;-;-;640865700;565436671;-;-;-;-;1902738747;-;-;-;-;-;-;-;-;3109041118;-;-;-;-;50000000;-;-;-;-;1510104292;-;-;-;-;-;1560104292;-;-;-;-;1094010970;-;-;-;-;1199260081;-;-;-;-;-;-;-;-;2293271051;8260654399;10057076214
05;ANTIOQUIA;05088;BELLO;3. Sostener el 56 porciento de las instituciones educativas oficiales en niveles alto, superior y muy superior en las pruebas Saber 11.;Porcentaje de instituciones  educativas oficiales  en niveles alto, superior y muy superior en las Pruebas SABER 11°.;56;56;1205112;4  foros educativos realizados;Número de foros educativos realizados.;4;4;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;4;4;100;Sobresaliente;valores iguales;2016-005-088-113;Normal;-;4;4;100;Sobresaliente;valores iguales;"2 0 1 7 0 0 5 0 8 8 108
2 0 1 7 0 0 5 0 8 8 154";Normal;-;4;4;100;Sobresaliente;valores iguales;-;Normal;-;4;4;100;Sobresaliente;valores iguales;-;Normal;-;-;-;-;-;-;-;-;-;-;3000000;-;-;-;-;-;3000000;-;-;-;-;-;-;-;-;-;3000000;-;-;-;-;-;-;-;-;3000000;-;-;-;-;-;-;-;-;-;30000000;-;-;-;-;-;30000000;-;-;-;-;-;-;-;-;-;30000000;-;-;-;-;-;-;-;-;30000000;-;-;-;-;-;-;-;-;-;46128000;-;-;-;-;-;46128000;-;-;-;-;-;-;-;-;-;49428000;-;-;-;-;-;-;-;-;49428000;-;-;-;-;-;-;-;-;-;46128000;-;-;-;-;-;46128000;-;-;-;-;-;-;-;-;-;22000000;-;-;-;-;-;-;-;-;22000000;125256000;104428000
05;ANTIOQUIA;05088;BELLO;3. Sostener el 56 porciento de las instituciones educativas oficiales en niveles alto, superior y muy superior en las pruebas Saber 11.;Porcentaje de instituciones  educativas oficiales  en niveles alto, superior y muy superior en las Pruebas SABER 11°.;56;56;1205113;4 Experiencias significativas apoyadas;Número de Experiencias significativas apoyadas.;4;4;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;4;4;SC;No Evaluada;Meta sólo con recursos de funcionamiento;2016-005-088-113;Normal;SE EJECUTO CON FUNCIONARIOS DE LA SECRETARIA ;4;4;100;Sobresaliente;valores iguales;"2 0 1 7 0 0 5 0 8 8 108
2 0 1 7 0 0 5 0 8 8 154";Normal;-;4;4;100;Sobresaliente;valores iguales;-;Normal;-;4;4;100;Sobresaliente;valores iguales;-;Normal;-;-;-;-;21000000;-;-;-;-;-;-;-;-;-;-;-;21000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21000000;-;21000000;-;-;-;-;-;-;-;-;-;20000000;-;-;-;-;-;20000000;-;-;-;-;-;-;-;-;-;20000000;-;-;-;-;-;-;-;-;20000000;-;-;-;-;-;-;-;-;-;30752000;-;-;-;-;-;30752000;-;-;-;-;-;-;-;-;-;32952000;-;-;-;-;-;-;-;-;32952000;-;-;-;-;-;-;-;-;-;30750000;-;-;-;-;-;30750000;-;-;-;-;-;-;-;-;-;12000000;-;-;-;-;-;-;-;-;12000000;102502000;85952000
05;ANTIOQUIA;05088;BELLO;3. Sostener el 56 porciento de las instituciones educativas oficiales en niveles alto, superior y muy superior en las pruebas Saber 11.;Porcentaje de instituciones  educativas oficiales  en niveles alto, superior y muy superior en las Pruebas SABER 11°.;56;56;1205114;10 porciento anual de Establecimientos educativos intervenidos en seguimiento, evaluación y control;Porcentaje anual de Establecimientos educativos intervenidos en seguimiento, evaluación y control.;10;10;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;10;10;SC;No Evaluada;Meta sólo con recursos de funcionamiento;2016-005-088-113;Normal;SE EJECUTO CON FUNCIONARIOS DE LA SECRETARIA ;10;10;SC;No Evaluada;Meta sólo con recursos de funcionamiento;"2 0 1 7 0 0 5 0 8 8 108
2 0 1 7 0 0 5 0 8 8 154";Normal;-;10;41,96;SC;No Evaluada;Meta sólo con recursos de funcionamiento;-;Normal;-;10;10;100;Sobresaliente;valores iguales;-;Normal;-;-;-;-;42000000;-;-;-;-;-;-;-;-;-;-;-;42000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42000000;-;42000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1000000;-;1000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000000;-;3000000;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;1000;42001000;46001000
05;ANTIOQUIA;05088;BELLO;3. Sostener el 56 porciento de las instituciones educativas oficiales en niveles alto, superior y muy superior en las pruebas Saber 11.;Porcentaje de instituciones  educativas oficiales  en niveles alto, superior y muy superior en las Pruebas SABER 11°.;56;56;1205115;120 establecimientos educativos  con licencia de aprobación de estudios y administración de novedades  por año;Nùmero de establecimientos educativos  con licencia de aprobación de estudios y administración de novedades  por año.;120;120;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;120;161;SC;No Evaluada;Meta sólo con recursos de funcionamiento;2016-005-088-113;Normal;SE EJECUTO CON FUNCIONARIOS DE LA SECRETARIA ;120;68;SC;No Evaluada;Meta sólo con recursos de funcionamiento;"2 0 1 7 0 0 5 0 8 8 108
2 0 1 7 0 0 5 0 8 8 154";Normal;-;120;68;SC;No Evaluada;Meta sólo con recursos de funcionamiento;-;Normal;-;120;24;20;Crítico;meta evaluable;-;Normal;-;-;-;-;42000000;-;-;-;-;-;-;-;-;-;-;-;42000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42000000;-;42000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1000000;-;1000000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000000;-;3000000;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;-;-;-;1000;42001000;46001000
05;ANTIOQUIA;05088;BELLO;3. Sostener el 56 porciento de las instituciones educativas oficiales en niveles alto, superior y muy superior en las pruebas Saber 11.;Porcentaje de instituciones  educativas oficiales  en niveles alto, superior y muy superior en las Pruebas SABER 11°.;56;56;1205116;100 porciento de las competencias básicas fortalecidas (Pruebas SABER);Porcentaje de las competencias básicas fortalecidas (Pruebas SABER);100;100;Mantenimiento;A.1;A.1. Educación;4. Educación de calidad;1.4. Desarrollo social: educación rural ;100;100;100;Sobresaliente;valores iguales;2016-005-088-113;Normal;-;100;100;100;Sobresaliente;valores iguales;"2 0 1 7 0 0 5 0 8 8 108
2 0 1 7 0 0 5 0 8 8 154";Normal;-;100;100;100;Sobresaliente;valores iguales;-;Normal;-;100;100;100;Sobresaliente;valores iguales;-;Normal;-;-;405022450;-;-;-;-;-;-;-;64000000;-;-;-;-;-;469022450;-;-;-;400408570;-;-;-;-;-;60000000;-;-;-;-;-;-;-;-;460408570;-;-;-;-;450000000;-;-;-;-;26880000;-;-;-;-;-;476880000;-;-;-;-;449582015;-;-;-;-;26880000;-;-;-;-;-;-;-;-;476462015;-;-;-;-;1200000000;-;-;-;-;-;-;-;-;-;-;1200000000;-;-;-;-;1162496645;-;-;-;-;-;-;-;-;-;-;-;-;-;1162496645;-;-;-;-;936989030;-;-;-;-;-;-;-;-;-;-;936989030;-;-;-;-;936989030;-;-;-;-;-;-;-;-;-;-;-;-;-;936989030;3082891480;3036356260
